SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52000001,7.20,6.75,5.20,5.75,7.25,5.00
52000002,5.20,6.50,None,None,None,None
52000003,8.40,None,None,None,8.50,7.75
52000004,6.00,5.75,5.80,5.25,6.25,4.75
52000005,6.80,6.50,6.20,6.00,5.25,3.75
52000006,7.80,7.50,4.80,None,None,None
52000007,6.40,7.00,7.60,6.00,7.75,4.00
52000008,7.20,7.25,6.80,8.00,7.50,5.75
52000009,6.80,7.25,6.80,None,None,None
52000010,7.20,6.00,4.00,5.00,6.75,4.50
52000011,8.00,8.50,None,5.75,6.50,4.50
52000012,6.80,7.75,6.60,None,None,None
52000013,6.80,7.25,5.00,6.25,6.75,5.00
52000014,7.40,6.25,7.40,5.00,3.75,2.75
52000015,8.40,6.75,7.60,None,None,None
52000016,6.20,5.75,7.00,6.25,6.50,4.75
52000017,4.80,6.50,6.80,None,None,None
52000018,5.60,7.50,4.40,None,None,None
52000019,7.40,7.00,6.40,None,None,None
52000020,4.80,6.25,None,None,None,None
52000021,6.40,6.50,3.60,None,None,None
52000022,6.40,8.00,6.60,None,None,None
52000023,6.60,5.50,7.20,6.25,4.00,3.25
52000024,5.00,4.50,None,None,None,None
52000025,7.40,8.25,8.00,None,None,None
52000026,6.80,6.00,None,None,None,None
52000027,6.80,7.25,5.80,5.25,7.00,3.50
52000028,7.60,7.25,4.80,7.00,4.25,5.00
52000029,7.60,7.25,7.20,7.25,7.50,6.50
52000030,7.00,6.25,5.00,6.75,6.50,4.25
52000031,8.20,None,8.20,8.00,4.50,None
52000032,7.00,6.00,6.20,None,None,None
52000033,7.40,6.00,5.60,6.25,7.75,3.75
52000034,7.60,8.25,7.00,6.00,7.50,6.00
52000035,8.60,7.25,7.40,7.00,7.75,4.25
52000036,8.00,7.75,6.00,6.50,5.75,4.25
52000037,6.80,7.00,6.00,5.75,5.75,4.00
52000038,8.40,None,6.40,8.25,8.00,4.50
52000039,7.80,8.00,4.20,None,None,None
52000040,7.00,5.50,4.80,3.75,3.50,5.00
52000041,6.00,6.50,6.40,4.75,4.00,3.75
52000042,8.00,7.00,7.00,7.25,7.75,6.25
52000043,7.20,6.75,5.80,6.25,4.25,3.75
52000044,7.40,5.25,7.00,6.50,5.50,3.75
52000045,5.80,6.50,7.40,None,None,None
52000046,7.20,7.75,9.20,None,None,None
52000047,6.80,6.00,3.60,3.75,4.25,3.25
52000048,6.40,6.50,2.60,None,None,None
52000049,5.40,6.00,5.40,5.25,6.25,3.50
52000050,7.80,7.50,6.00,None,None,None
52000051,6.00,6.00,4.20,None,None,None
52000052,8.40,None,None,None,8.50,8.00
52000053,6.60,6.00,5.00,None,None,None
52000054,7.40,6.75,4.00,None,None,None
52000055,8.80,None,None,5.50,8.25,8.50
52000056,7.60,7.00,None,None,None,None
52000057,7.40,6.25,5.80,5.25,5.25,3.25
52000058,8.20,8.25,9.00,None,8.75,None
52000059,7.00,7.50,5.80,None,None,None
52000060,7.20,7.50,7.60,None,None,None
52000061,5.60,6.50,5.80,5.75,5.00,3.25
52000062,4.80,7.25,6.00,None,None,None
52000063,6.80,6.50,5.60,None,None,None
52000064,8.20,7.75,6.20,8.25,7.00,4.25
52000065,4.20,5.25,None,None,None,None
52000066,6.20,5.75,5.20,None,None,None
52000067,4.20,5.75,None,None,None,None
52000068,6.20,5.75,4.00,5.75,4.75,3.25
52000069,7.80,6.25,None,6.25,5.00,5.75
52000070,7.60,6.00,6.80,7.00,7.75,5.50
